0,Абыйский
2,Алданский
3,Аллаиховский
4,Амгинский
5,Анабарский Национальный
6,Булунский
7,Верхневилюйский
8,Верхнеколымский
9,Верхоянский
10,Вилюйский
11,Горный
12,Жиганский
13,Кобяйский
14,Ленский
15,Мегино-Кангаласский
16,Мирнинский
17,Момский Национальный
18,Намский
19,Нижнеколымский
20,Нюрбинский
21,Оймяконский
22,Олекминский
23,Оленекский Национальный
24,Среднеколымский
25,Сунтарский
26,Таттинский
27,Томпонский
28,Усть-Алданский
29,Усть-Майский
30,Усть-Янский
31,Хангаласский
32,Чурапчинский
33,Эвено-Бытантайский Национальный
34,Нерюнгринский
35,Якутск
36,Жатай
